subject,time,value
sub01,0,0.08138219927472563
sub01,1,0.11783561244483136
sub01,2,0.27759386820984533
sub01,3,-0.12241230868776684
sub01,4,0.03610590704649422
sub01,5,-0.02707428253494475
sub01,6,0.11174095177105177
sub01,7,0.5206421701001537
sub01,8,0.3319822069014427
sub01,9,-0.6103322022095944
sub01,10,0.004511308799818776
sub01,11,-0.17004117442265637
sub01,12,-0.16385690433006894
sub01,13,0.09653939873672521
sub01,14,-0.03309478399236498
sub01,15,0.4111794560199756
sub01,16,0.34375668142084465
sub01,17,0.1407721971312868
sub01,18,-0.07381799940303234
sub01,19,-0.338699411795903
sub01,20,-0.2374468072699636
sub01,21,0.251807027025215
sub01,22,0.3336587790912493
sub01,23,0.46925105781843457
sub01,24,-0.03761171061879376
sub01,25,0.15460358661378285
sub01,26,0.4526320520027161
sub01,27,-0.0015037605319776642
sub01,28,0.16385690433006897
sub01,29,-0.0587139925289719
sub01,30,-0.253408801184226
sub01,31,-0.20273255405408214
sub01,32,-0.12088618557385153
sub01,33,0.10413418077458289
sub01,34,0.0015037605319776612
sub01,35,-0.05117243984629857
sub01,36,-0.21844723531922833
sub01,37,0.12852255149494557
sub01,38,-0.012030655580058603
sub01,39,-0.2938933324510595
sub01,40,-0.3037458679907257
sub01,41,-0.32029588339597875
sub01,42,-0.28572512279121276
sub01,43,-0.18711604420911646
sub01,44,-0.09350464040316696
sub01,45,-0.1361738542258372
sub01,46,0.25501184955196476
sub01,47,0.4111794560199756
sub01,48,0.17934194678441098
sub01,49,0.25822180803510686
sub01,50,0.12852255149494557
sub01,51,0.11478722082225008
sub01,52,0.24381693031100313
sub01,53,-0.022560217640234713
sub01,54,0.40763902457621615
sub01,55,0.1980376838791627
sub01,56,-0.018047071817921985
sub01,57,0.14537646186767747
sub01,58,-0.09653939873672522
sub01,59,0.03309478399236492
sub01,60,0.14384103622589042
sub01,61,-0.14537646186767753
sub01,62,0.0768426194067516
sub01,63,-0.17934194678441098
sub01,64,-0.1855594642417339
sub01,65,0.1499868554816687
sub01,66,0.2988125569512034
sub01,67,0.019551363006871304
sub01,68,0.19647465008816684
sub01,69,0.12852255149494557
sub01,70,0.1423062838698099
sub01,71,0.2889878971689299
sub01,72,0.44168189798346674
sub01,73,0.12546626512151976
sub01,74,0.2938933324510595
sub01,75,0.19647465008816684
sub01,76,0.2857251227912128
sub01,77,0.3454461940864281
sub01,78,0.4380539596114486
sub01,79,0.7824930749316331
sub01,80,0.24062947373884902
sub01,81,-0.12088618557385153
sub02,0,-0.10717539968311567
sub02,1,-0.5343796627592143
sub02,2,-0.29225666977857495
sub02,3,-0.13464235365603244
sub02,4,0.41472967834251473
sub02,5,-0.016542862292882664
sub02,6,0.3953227725224114
sub02,7,0.3219601198973973
sub02,8,0.17313811835891693
sub02,9,0.0015037605319776612
sub02,10,0.33869941179590296
sub02,11,-0.12088618557385153
sub02,12,-0.1041341807745829
sub02,13,0.14691256848274742
sub02,14,-0.07533013744374485
sub02,15,0.39357265559644333
sub02,16,0.22160271804550571
sub02,17,-0.0813821992747257
sub02,18,-0.09805743946314525
sub02,19,0.1499868554816687
sub02,20,-0.0015037605319776642
sub02,21,-0.7097600043741056
sub02,22,0.08289612742137192
sub02,23,0.25501184955196476
sub02,24,-0.15922686555926738
sub02,25,-0.012030655580058603
sub02,26,0.03309478399236492
sub02,27,0.3573266928904545
sub02,28,0.09957593081716458
sub02,29,0.01052670459891624
sub02,30,0.1499868554816687
sub02,31,-0.05117243984629857
sub02,32,0.1715892389506481
sub02,33,0.08592512846332961
sub02,34,0.0346002671216913
sub02,35,0.09198790844499058
sub02,36,-0.0075189386822702795
sub02,37,0.0346002671216913
sub02,38,-0.12241230868776684
sub02,39,0.006015110138271031
sub02,40,0.08592512846332961
sub02,41,0.12852255149494557
sub02,42,-0.05418831516707482
sub02,43,0.25822180803510686
sub02,44,0.05418831516707479
sub02,45,0.09653939873672521
sub02,46,0.2743514174596328
sub02,47,0.16540178966957236
sub02,48,0.1515250513400474
sub02,49,0.3053934873730231
sub02,50,0.35052618003352914
sub02,51,0.32362608247269864
sub02,52,0.6908008599708492
sub02,53,0.4023464539297263
sub02,54,0.016542862292882633
