subject,time,value
sub01,0,0.10013572700779322
sub01,1,0.2851534595110396
sub01,2,0.386775482121952
sub01,3,0.06531009120853211
sub01,4,0.23652779765619442
sub01,5,0.07126665336777097
sub01,6,0.10013572700779322
sub01,7,0.31430432971118705
sub01,8,0.21366758860627635
sub01,9,-0.4145066220460813
sub01,10,0.07424680244139362
sub01,11,-0.11613192293740339
sub01,12,0.06928059241503197
sub01,13,0.193075381035843
sub01,14,-0.12415175572047835
sub01,15,0.08120569841731241
sub01,16,0.22195376769834518
sub01,17,0.17366173953779393
sub01,18,0.05043798468582771
sub01,19,-0.17468016206009634
sub01,20,-0.21366758860627638
sub01,21,0.2617470216947802
sub01,22,0.2512011523402313
sub01,23,0.30344972692780653
sub01,24,0.017788437283553716
sub01,25,0.10912678301000898
sub01,26,0.15033182404546683
sub01,27,-0.1382254264411402
sub01,28,0.21056776593251308
sub01,29,0.0405360219213253
sub01,30,-0.07325327574382803
sub01,31,-0.06729507698638239
sub01,32,-0.06630251888219592
sub01,33,0.05241950163004367
sub01,34,-0.024708584398022822
sub01,35,-0.05043798468582778
sub01,36,-0.2438516031725682
sub01,37,0.16349674633333458
sub01,38,0.04251571700970031
sub01,39,-0.15235372200777286
sub01,40,-0.35847891462683196
sub01,41,-0.350655245599553
sub01,42,-0.3484275041577356
sub01,43,-0.24070973093974463
sub01,44,-0.10213229485837012
sub01,45,-0.09315389573089482
sub01,46,0.2501496053895016
sub01,47,0.35960000623280175
sub01,48,0.15033182404546683
sub01,49,0.06034984004265403
sub01,50,-0.05142869271985385
sub01,51,0.013834874709625447
sub01,52,0.11913756309155939
sub01,53,-0.08717669357238883
sub01,54,0.2407097309397446
sub01,55,0.2851534595110396
sub01,56,0.06630251888219586
sub01,57,0.13419906237859383
sub01,58,-0.03163109838898325
sub01,59,0.10812693482758723
sub01,60,0.15134261952191488
sub01,61,0.018776909985893656
sub01,62,0.06828776750287535
sub01,63,-0.1756989434189442
sub01,64,-0.06233357097591763
sub01,65,0.30344972692780653
sub01,66,0.3902102888633139
sub01,67,0.05737512800383262
sub01,68,0.11012684856505262
sub01,69,0.05737512800383262
sub01,70,0.09016449149909785
sub01,71,0.386775482121952
sub01,72,0.41918671175646605
sub01,73,0.22091637613951962
sub01,74,0.37652266107050725
sub01,75,0.09215724579808307
sub01,76,0.22195376769834518
sub01,77,0.38220921458583634
sub01,78,0.4633447195475267
sub01,79,0.8106714074702096
sub01,80,0.1614678254518398
sub01,81,-0.08220045171838139
sub02,0,-0.2417565008176338
sub02,1,-0.39825921877751264
sub02,2,-0.1291721671045821
sub02,3,0.029652956979423207
sub02,4,0.41567502761253566
sub02,5,-0.04845686340792885
