subject,time,value
sub01,0,0.2566979981576064
sub01,1,0.18773865011809193
sub01,2,-0.16538675515536708
sub01,3,-0.04291838330167947
sub01,4,-0.23452540955316614
sub01,5,0.03647215010080207
sub01,6,0.24389974624504926
sub01,7,0.14399971742627576
sub01,8,0.257147151004322
sub01,9,-0.012704881345055685
sub01,10,0.2723999715200551
sub01,11,-0.045951345025871594
sub01,12,-0.31179661361699695
sub01,13,0.13294060457682413
sub01,14,0.025088947182721567
sub01,15,-0.13455797125610514
sub01,16,0.20350641081582377
sub01,17,0.55088602298144
sub01,18,0.29236498057590055
sub01,19,-0.07856531657938322
sub01,20,-0.0904452105567984
sub01,21,0.15335439186962932
sub01,22,0.45283338596586137
sub01,23,0.2644285167461956
sub01,24,-0.06388701719649989
sub01,25,-0.1644980485149396
sub01,26,0.05175840209198347
sub01,27,0.034590759124621374
sub01,28,0.24415016739679052
sub01,29,-0.18690307755228305
sub01,30,-0.616519062488069
sub01,31,-0.3894767717114115
sub01,32,-0.17010416387873614
sub01,33,-0.3323351953998406
sub01,34,-0.0730418103247035
sub01,35,-0.08757154410161695
sub01,36,-0.3576505246516909
sub01,37,-0.48829352862007613
sub01,38,-0.3941629931575041
sub01,39,-0.7029568573422424
sub01,40,-0.9333547968962274
sub01,41,-0.4596977824092547
sub01,42,-0.23968333399434102
sub01,43,-0.2759580894423125
sub01,44,-0.3256207254735122
sub01,45,-0.5210865928589874
sub01,46,-0.41591919762271773
sub01,47,-0.3765802656179571
sub01,48,-0.47633671115237536
sub01,49,-0.6198129810254911
sub01,50,-0.519463406059467
sub01,51,-0.44925731786456435
sub01,52,-0.4686892192668458
sub01,53,-0.2615781815195832
sub01,54,-0.5154842866120035
sub01,55,-0.6444967710082258
sub01,56,-0.2877982572209343
sub01,57,-0.1885157701647097
sub01,58,-0.4027762470881336
sub01,59,-0.5172959156000422
sub01,60,-0.3029123689744693
sub01,61,-0.37364202861990703
sub01,62,-0.3520618826736047
sub01,63,-0.3559964890268222
sub01,64,-0.29368044355155787
sub01,65,-0.2509706369725285
sub01,66,-0.23701587211279268
sub01,67,-0.1279228510863039
sub01,68,-0.03923958018841376
sub01,69,-0.12142486211720657
sub01,70,-0.21753677616339145
sub01,71,-0.31839426388609143
sub01,72,-0.3374062140788102
sub01,73,-0.10391355372200439
sub01,74,-0.19098290922709235
sub01,75,-0.1710654266274141
sub01,76,0.0056934501564569525
sub01,77,0.12940322749317762
sub01,78,0.07426078283502824
sub01,79,0.08652555230116978
sub01,80,-0.05928666674902796
sub01,81,0.23155225830091367
sub02,0,-0.00822281215876407
sub02,1,-0.09185148730120632
sub02,2,-0.06867133370876649
sub02,3,-0.5006943826653817
sub02,4,0.032427226855673806
sub02,5,0.03214153727748549
sub02,6,-0.1585595732733118
sub02,7,-0.20021045542900567
sub02,8,0.1921989414111655
sub02,9,0.17792046738037848
sub02,10,-0.1009454399582744
sub02,11,-0.2040752554082121
sub02,12,0.3227267121921308
sub02,13,-0.062208861496595894
sub02,14,0.06259961134277081
sub02,15,0.24060704481584158
sub02,16,0.02825593129751585
sub02,17,-0.16427152997640532
sub02,18,-0.2768628389308161
sub02,19,-0.2588408349599191
sub02,20,-0.02140618338158154
sub02,21,-0.254199124730849
sub02,22,-0.16218797785819158
sub02,23,0.021964501296885038
sub02,24,-0.22908148186339602
sub02,25,0.015458740443702868
sub02,26,-0.015115364664527772
sub02,27,0.0877050610879646
sub02,28,-0.6448644385938958
sub02,29,-0.3876208609643291
sub02,30,0.21296896574218102
sub02,31,0.3125373787693904
sub02,32,0.022294594473824654
sub02,33,-0.35673456011210847
sub02,34,-0.36923587137808656
sub02,35,0.004221918527394198
sub02,36,-0.09443999038646508
sub02,37,-0.19095814205894812
sub02,38,-0.0725424250105619
sub02,39,0.1679185156406479
sub02,40,0.08289065642963352
sub02,41,0.0505255450289452
sub02,42,-0.015697853816961305
sub02,43,-0.1594292410642162
sub02,44,-0.020106288369270288
sub02,45,0.23449938671734488
sub02,46,0.03152133881154211
sub02,47,-0.5882073334343503
sub02,48,-0.5598033222075242
sub02,49,-0.31604063749013983
sub02,50,-0.04125911590739832
sub02,51,0.18544789905346232
sub02,52,0.420741184786168
sub02,53,0.22426154375115562
sub02,54,0.40250006632782365
sub02,55,0.10803839628384097
sub02,56,0.08247055444286591
sub02,57,-0.07546999555096408
sub02,58,-0.07431591331511869
sub02,59,0.014598530813398725
sub02,60,-0.07813127851599413
sub02,61,0.23396296088540874
sub02,62,0.36024935666142915
sub02,63,0.17030515972215005
sub02,64,0.20875893374343005
sub02,65,0.14345630737646445
sub02,66,0.2274272495123081
sub02,67,0.05875784701945615
sub02,68,0.2697844668398458
sub02,69,-0.12805293540632712
sub02,70,-0.032391729881294955
sub02,71,0.20756226954385024
sub02,72,0.22850109014375697
sub02,73,-0.012107869980731625
sub02,74,-0.02671690012288095
sub02,75,-0.212720723494652
sub02,76,0.0932021410305289
sub02,77,0.08545738139883993
sub02,78,0.16083208259717321
sub02,79,-0.14468476184631213
sub02,80,-0.3196784542095428
sub02,81,-0.30238901526883927
sub03,0,-0.005839584033809619
sub03,1,0.2226215245398298
sub03,2,0.23509599291632463
sub03,3,-0.1780449649326258
sub03,4,0.23932741420036815
sub03,5,0.011700946501461248
sub03,6,-0.015005345279698623
sub03,7,-0.06189981383676605
sub03,8,0.1804808124261171
sub03,9,-0.1900986832994137
sub03,10,-0.3127184451716455
sub03,11,0.14815360823482498
sub03,12,0.26096884608912774
sub03,13,0.22536455275918815
sub03,14,-0.32052089267534806
sub03,15,0.11036035395233199
sub03,16,0.13120925874042577
sub03,17,0.11156713542819965
sub03,18,-0.04568068024728876
sub03,19,-0.0400979621035311
sub03,20,-0.015631082979719484
sub03,21,-0.30318598436707866
sub03,22,-0.19528477606059122
sub03,23,-0.13799453067105322
sub03,24,-0.37118956510463497
sub03,25,0.2142336460908937
sub03,26,-0.10647879148602094
sub03,27,-0.2714892982958331
sub03,28,0.25685770711134986
sub03,29,0.6158387425118952
sub03,30,0.3391579304926824
sub03,31,-0.3245148256164465
sub03,32,-0.40339981150868187
sub03,33,-0.4300180400245465
sub03,34,-0.22888077469406937
sub03,35,-0.2753274515980625
sub03,36,-0.06142492604842163
sub03,37,-0.1487747074538841
sub03,38,-0.06086950623017014
sub03,39,0.05239035436011212
sub03,40,0.24503683281493277
sub03,41,0.19812064410646985
sub03,42,0.010869340553142075
sub03,43,0.23137399573549894
sub03,44,-0.06472809140653528
sub03,45,-0.08027993950934921
